TC ID,Test case name,Input length type,Input,Expected output,Actual output,Status,Accuracy justification/ Description of issue type,What is covered by the test
Neg_Fun_0004,Over-segmentation extreme spacing,M,m a m a  g e d a r a  y a n a v a,මම ගෙදර යනවා,m a m a g එ ඩ් a ර් a ය් a n a v a,Fail,Fail if system cannot reconstruct tokens and outputs nonsense/no conversion.,Joined vs segmented extremes → Robustness → M (31–299) → Failure detection
Neg_Fun_0005,Multiple spaces + tabs formatting stress,M,mama		gedara    yanava,මම ගෙදර යනවා,මම ගෙඩර යනව,Fail,Fail if whitespace causes word loss/merge or inconsistent output.,Multiple spaces → Text formatting robustness → M (31–299) → Failure detection
Neg_Fun_0006,Line breaks / paragraph input stress,M,"suba dawasak!

oyata kohomadha?
api heta set wenna","සුබ දවසක්!

ඔයාට කොහොමද?
අපි හෙට සෙට් වෙන්න","සුබ ඩwඅසක්!

ඔයට කොහොමද?
අපි හෙට සෙට් wඑන්න",Fail,Fail if line breaks removed or translation incomplete per line.,Line breaks + paragraph style → Formatting robustness → M (31–299) → Failure detection
Neg_Fun_0007,Punctuation + quotes handling,M,"ane! meka ""hari"" da? (sure?)","අනේ! මේක ""හරි"" ද? (sure?)","අනෙ! මෙක ""හරි"" ඩ? (sure?)",Fail,Fail if punctuation breaks output or English inside parentheses gets corrupted.,Punctuation marks → Mixed English → M (31–299) → Failure detection
Neg_Fun_0008,English abbreviation should remain (API),S,API test eka hari da?,API test එක හරි ද?,API test එක හරි ඩ?,Fail,Fail if 'API' is converted to Sinhala letters or casing/format breaks.,English abbreviations/short forms → Mixed content → S (≤30) → Failure detection
Neg_Fun_0009,Brand/tech term preservation (YouTube),M,mama YouTube eke video ekak baluwa.,මම YouTube එකේ video එකක් බැලුවා.,මම YouTube eke video එකක් බලුwඅ.,Fail,Fail if brand/English nouns are over-converted or spacing breaks.,English technical/brand terms → Past tense → M (31–299) → Failure detection
Neg_Fun_0010,Currency numeric formatting stress,M,"Rs. 2,500.00 dennam, habayi 2 dinakin.","Rs. 2,500.00 දෙන්නම්, හැබයි 2 දිනකින්.","Rs. 2,500.00 ඩෙන්නම්, හබයි 2 ඩිනකින්.",Fail,Fail if commas/decimals/digits are altered or formatting breaks.,Currency formats → Numeric formats + punctuation → M (31–299) → Failure detection
Neg_Fun_0011,Time format stress,S,oya 10:30 PM enawada?,ඔයා 10:30 PM එනවද?,ඔය 10:30 PM එනwඅඩ?,Fail,Fail if time/PM is converted or corrupted.,Time formats → Interrogative → S (≤30) → Failure detection
Neg_Fun_0012,Date format stress,S,2026-02-10 dawasata enna,2026-02-10 දවසට එන්න,2026-02-10 ඩwඅසට එන්න,Fail,Fail if date is broken/partially converted or loses formatting.,Date formats → Imperative/request → S (≤30) → Failure detection
Neg_Fun_0013,Units of measurement stress,M,km 18k wage yanna wenawa.,km 18k වගේ යන්න වෙනවා.,km 18ක් wage යන්න wඑනwඅ.,Fail,Fail if unit 'km' or numeric pattern is altered incorrectly.,Units of measurement → Numeric formats → M (31–299) → Failure detection
Neg_Fun_0014,Long noisy mixed input (abbr/brand/phone/date/time/currency/unit),L,"machan, mama tomorrow Colombo yanna inne. Google Maps on karala route eka balanna one. ETA 45min kiyala pennanawa, but bus late. pls call me 0712345678; api 2026-02-10 10:30 AM meet wenna. Rs. 3,000.00 wage ganna wenawa, km 18k.","මචං, මම tomorrow Colombo යන්න ඉන්නේ. Google Maps on කරලා route එක බලන්න ඕනේ. ETA 45min කියලා පේන්නවා, but bus late. pls call me 0712345678; අපි 2026-02-10 10:30 AM meet වෙන්න. Rs. 3,000.00 වගේ ගන්න වෙනවා, km 18k.","මචන්, මම tomorrow Colombo යන්න ඉන්නේ. Google Maps on කරල route එක බලන්න one. ETA 45min කියල පෙන්නනwඅ, but bus late. ප්ල්ස් call මෙ 0712345678; අපි 2026-02-10 10:30 AM මේට් wඑන්න. Rs. 3,000.00 wage ගන්න wඑනwඅ, km 18ක්.",Fail,"Fail if English/abbr terms are over-converted, formats corrupted, or truncation occurs due to long/noisy input.",Long input (≥300) → Mixed language → Abbreviations/brand terms → Numbers/date/time/currency/units → Robustness → Failure detection
UI_0001,Swap button rapid clicks should not break translation UI,N/A,"Swap x5 quickly, then enter a new sentence",UI responsive; output updates correctly,oyata kohomadha?,Pass,UI remains responsive; swapping does not freeze or clear fields unexpectedly.,UI stability/usability under rapid interaction
